date,site,ndvi,evi
10/11/1989,wwtr,0.0862,0.0646
10/27/1989,wwtr,0.091,0.064
11/12/1989,wwtr,0.0776,0.0598
11/28/1989,wwtr,0.0847,0.0638
4/21/1990,wwtr,0.0962,0.077
5/7/1990,wwtr,0.087,0.067
6/8/1990,wwtr,0.0853,0.0651
6/24/1990,wwtr,0.0823,0.0623
8/11/1990,wwtr,0.0753,0.0593
8/27/1990,wwtr,0.0847,0.065
9/12/1990,wwtr,0.0763,0.0544
9/28/1990,wwtr,0.0827,0.064
10/14/1990,wwtr,0.0846,0.0643
10/30/1990,wwtr,0.0814,0.0613
3/23/1991,wwtr,0.2975,0.2418
4/8/1991,wwtr,0.474,0.3833
4/24/1991,wwtr,0.2738,0.2047
5/10/1991,wwtr,0.169,0.1253
5/26/1991,wwtr,0.1633,0.1171
7/13/1991,wwtr,0.1463,0.101
7/29/1991,wwtr,0.1408,0.11
8/14/1991,wwtr,0.174,0.1204
8/30/1991,wwtr,0.1521,0.1175
9/15/1991,wwtr,0.1481,0.1035
10/17/1991,wwtr,0.1408,0.0969
1/21/1992,wwtr,0.2256,0.1674
4/10/1992,wwtr,0.3094,0.218
4/26/1992,wwtr,0.1983,0.1354
5/12/1992,wwtr,0.185,0.1253
5/28/1992,wwtr,0.1688,0.1175
6/13/1992,wwtr,0.1669,0.1159
7/31/1992,wwtr,0.1621,0.1146
8/16/1992,wwtr,0.1433,0.0956
9/1/1992,wwtr,0.1506,0.104
9/17/1992,wwtr,0.1404,0.0975
10/3/1992,wwtr,0.136,0.091
10/19/1992,wwtr,0.1418,0.0979
11/4/1992,wwtr,0.1443,0.0904
11/20/1992,wwtr,0.1419,0.097
12/6/1992,wwtr,0.1382,0.0974
12/22/1992,wwtr,0.1996,0.1336
1/23/1993,wwtr,0.2852,0.1977
2/24/1993,wwtr,0.2628,0.2422
3/28/1993,wwtr,0.2211,0.1649
4/13/1993,wwtr,0.1853,0.1244
4/29/1993,wwtr,0.1566,0.1063
5/31/1993,wwtr,0.1572,0.1102
6/16/1993,wwtr,0.1787,0.1254
7/18/1993,wwtr,0.1377,0.1026
8/19/1993,wwtr,0.1378,0.0983
9/4/1993,wwtr,0.1295,0.0905
9/20/1993,wwtr,0.1186,0.0872
11/7/1993,wwtr,0.1248,0.0867
11/23/1993,wwtr,0.1575,0.1159
12/9/1993,wwtr,0.1551,0.1151
12/25/1993,wwtr,0.2182,0.148
1/10/1994,wwtr,0.1887,0.1348
1/26/1994,wwtr,0.1698,0.1143
2/11/1994,wwtr,0.1989,0.1312
2/27/1994,wwtr,0.2377,0.2057
3/31/1994,wwtr,0.3244,0.2269
5/2/1994,wwtr,0.1583,0.1167
5/18/1994,wwtr,0.1462,0.1056
6/19/1994,wwtr,0.124,0.0871
7/5/1994,wwtr,0.1329,0.0949
7/21/1994,wwtr,0.1273,0.0922
8/6/1994,wwtr,0.1251,0.0907
8/22/1994,wwtr,0.1417,0.0989
9/7/1994,wwtr,0.1223,0.082
9/23/1994,wwtr,0.1361,0.0961
10/9/1994,wwtr,0.148,0.103
10/25/1994,wwtr,0.121,0.0848
12/12/1994,wwtr,0.1256,0.0847
1/13/1995,wwtr,0.2213,0.1484
1/29/1995,wwtr,0.2717,0.2048
3/18/1995,wwtr,0.4535,0.3488
4/19/1995,wwtr,0.279,0.1923
5/5/1995,wwtr,0.1785,0.1907
6/6/1995,wwtr,0.1973,0.1354
6/22/1995,wwtr,0.2144,0.1385
7/8/1995,wwtr,0.1856,0.1293
7/24/1995,wwtr,0.1617,0.1044
8/9/1995,wwtr,0.1722,0.1125
9/10/1995,wwtr,0.1649,0.1044
10/12/1995,wwtr,0.1521,0.104
12/31/1995,wwtr,0.1592,0.1121
1/16/1996,wwtr,0.1168,0.0743
2/1/1996,wwtr,0.195,0.1543
2/17/1996,wwtr,0.2588,0.2179
3/20/1996,wwtr,0.283,0.1894
4/5/1996,wwtr,0.1934,0.1315
4/21/1996,wwtr,0.1561,0.1068
5/7/1996,wwtr,0.1533,0.1063
5/23/1996,wwtr,0.1464,0.105
6/8/1996,wwtr,0.1467,0.1009
6/24/1996,wwtr,0.1398,0.1011
7/26/1996,wwtr,0.099,0.0615
8/27/1996,wwtr,0.1702,0.1115
9/12/1996,wwtr,0.1473,0.0982
9/28/1996,wwtr,0.1437,0.0965
10/14/1996,wwtr,0.1412,0.0949
12/1/1996,wwtr,0.1877,0.1256
1/18/1997,wwtr,0.4301,0.3017
2/3/1997,wwtr,0.5543,0.4089
2/19/1997,wwtr,0.2928,0.2001
3/7/1997,wwtr,0.2429,0.1642
3/23/1997,wwtr,0.185,0.139
4/8/1997,wwtr,0.1589,0.1129
4/24/1997,wwtr,0.1765,0.1248
5/10/1997,wwtr,0.1347,0.0973
5/26/1997,wwtr,0.1615,0.1115
6/11/1997,wwtr,0.1295,0.0928
6/27/1997,wwtr,0.1292,0.0941
7/13/1997,wwtr,0.1341,0.0984
7/29/1997,wwtr,0.1122,0.078
8/14/1997,wwtr,0.1362,0.096
8/30/1997,wwtr,0.1151,0.0823
10/1/1997,wwtr,0.147,0.1082
10/17/1997,wwtr,0.1869,0.132
11/2/1997,wwtr,0.1777,0.1214
11/18/1997,wwtr,0.1725,0.1432
12/4/1997,wwtr,0.316,0.2224
12/20/1997,wwtr,0.3174,0.3182
1/5/1998,wwtr,0.385,0.2673
1/21/1998,wwtr,0.5637,0.4303
3/10/1998,wwtr,0.6394,0.4764
4/11/1998,wwtr,0.3394,0.2356
4/27/1998,wwtr,0.247,0.1692
6/14/1998,wwtr,0.1866,0.1273
6/30/1998,wwtr,0.1699,0.1169
7/16/1998,wwtr,0.1798,0.1213
8/1/1998,wwtr,0.1749,0.1178
8/17/1998,wwtr,0.1733,0.1123
9/2/1998,wwtr,0.172,0.1159
9/18/1998,wwtr,0.1882,0.1244
10/4/1998,wwtr,0.1665,0.1085
10/20/1998,wwtr,0.1635,0.109
11/5/1998,wwtr,0.1649,0.1107
11/21/1998,wwtr,0.1875,0.1231
12/7/1998,wwtr,0.1585,0.102
12/23/1998,wwtr,0.1863,0.1273
1/8/1999,wwtr,0.1454,0.0963
2/25/1999,wwtr,0.1289,0.0902
3/13/1999,wwtr,0.1123,0.0887
3/29/1999,wwtr,0.1265,0.0932
5/16/1999,wwtr,0.1051,0.0803
6/17/1999,wwtr,0.1006,0.0741
7/3/1999,wwtr,0.0962,0.0717
7/19/1999,wwtr,0.0895,0.063
8/4/1999,wwtr,0.1046,0.0742
8/12/1999,wwtr,0.0875,0.061
8/20/1999,wwtr,0.0924,0.0739
8/28/1999,wwtr,0.1023,0.0731
9/5/1999,wwtr,0.1007,0.0716
9/13/1999,wwtr,0.0921,0.0665
9/21/1999,wwtr,0.1154,0.0797
9/29/1999,wwtr,0.1071,0.0731
10/7/1999,wwtr,0.1126,0.0807
10/15/1999,wwtr,0.0865,0.0595
10/23/1999,wwtr,0.1032,0.075
10/31/1999,wwtr,0.1041,0.0725
11/16/1999,wwtr,0.0948,0.0655
11/24/1999,wwtr,0.1066,0.074
12/2/1999,wwtr,0.1011,0.0717
12/18/1999,wwtr,0.0733,0.0504
12/26/1999,wwtr,0.0845,0.0584
1/3/2000,wwtr,0.1092,0.071
1/11/2000,wwtr,0.1014,0.0706
1/27/2000,wwtr,0.1156,0.077
2/4/2000,wwtr,0.1086,0.087
2/12/2000,wwtr,0.0902,0.0675
3/7/2000,wwtr,0.3041,0.2245
3/23/2000,wwtr,0.3136,0.2285
3/31/2000,wwtr,0.2912,0.2049
4/8/2000,wwtr,0.2368,0.1702
4/16/2000,wwtr,0.1815,0.128
4/24/2000,wwtr,0.1812,0.1241
5/2/2000,wwtr,0.1377,0.096
5/10/2000,wwtr,0.1312,0.0962
5/18/2000,wwtr,0.1291,0.0919
5/26/2000,wwtr,0.1216,0.0876
6/11/2000,wwtr,0.1108,0.082
6/19/2000,wwtr,0.1116,0.0827
6/27/2000,wwtr,0.1038,0.0736
7/5/2000,wwtr,0.1104,0.0801
7/13/2000,wwtr,0.1073,0.0759
7/21/2000,wwtr,0.1062,0.0766
8/6/2000,wwtr,0.1132,0.0846
8/14/2000,wwtr,0.0935,0.0721
8/22/2000,wwtr,0.0887,0.0634
8/30/2000,wwtr,0.1052,0.0745
9/15/2000,wwtr,0.1041,0.0694
9/23/2000,wwtr,0.1181,0.0848
10/1/2000,wwtr,0.1085,0.0743
10/9/2000,wwtr,0.1046,0.0778
10/17/2000,wwtr,0.1318,0.093
10/25/2000,wwtr,0.106,0.0788
11/2/2000,wwtr,0.1072,0.0734
11/18/2000,wwtr,0.0989,0.0676
11/26/2000,wwtr,0.0914,0.0661
12/20/2000,wwtr,0.0879,0.0678
12/28/2000,wwtr,0.1052,0.0734
1/13/2001,wwtr,0.1036,0.0627
1/29/2001,wwtr,0.0981,0.0778
2/6/2001,wwtr,0.1644,0.1201
2/14/2001,wwtr,0.246,0.1691
2/22/2001,wwtr,0.3132,0.236
3/10/2001,wwtr,0.6081,0.5171
3/18/2001,wwtr,0.5722,0.4462
3/26/2001,wwtr,0.3775,0.2788
4/3/2001,wwtr,0.2028,0.1669
4/11/2001,wwtr,0.1994,0.155
4/27/2001,wwtr,0.1653,0.113
5/5/2001,wwtr,0.1509,0.1046
5/13/2001,wwtr,0.1387,0.0956
5/21/2001,wwtr,0.1359,0.0925
5/29/2001,wwtr,0.1127,0.0928
6/6/2001,wwtr,0.1216,0.0871
6/14/2001,wwtr,0.1351,0.0942
6/30/2001,wwtr,0.1241,0.0883
7/8/2001,wwtr,0.1387,0.0922
7/16/2001,wwtr,0.1218,0.0811
7/24/2001,wwtr,0.1268,0.0868
8/1/2001,wwtr,0.1285,0.0866
